원본파일,원본형식,거래일자,거래처,금액,결제수단,메모,계정과목,처리상태
advanced_card_a.csv,카드사 A,2026-10-02,스타벅스 강남점,12500,법인카드,고객 미팅,복리후생비,정상
advanced_card_a.csv,카드사 A,2026-10-03,알파문구,35000,법인카드,사무용품,소모품비,정상
advanced_card_b.csv,카드사 B,2026-10-04,쿠팡,29600,기업카드,소모품,소모품비,정상
advanced_bank.csv,은행,2026-10-05,KT,88000,자동이체,10월 통신비,통신비,정상
advanced_bank.csv,은행,2026-10-06,한국전력,126400,자동이체,전기요금,수도광열비,정상
advanced_card_a.csv,카드사 A,2026-10-07,코레일,48000,법인카드,부산 출장,여비교통비,정상
advanced_bank.csv,은행,2026-10-08,사무실임대,470000,계좌이체,10월 임차료,임차료,정상
advanced_card_b.csv,카드사 B,2026-10-09,네이버클라우드,55000,기업카드,클라우드,통신비,정상
advanced_card_a.csv,카드사 A,2026-10-10,배달의민족,27800,법인카드,야근 식대,복리후생비,정상
advanced_card_b.csv,카드사 B,2026-10-11,세무법인 한빛,110000,기업카드,기장료,지급수수료,정상
advanced_bank.csv,은행,2026-10-12,국세청,120000,계좌이체,세금 납부,세금과공과,정상
advanced_card_b.csv,카드사 B,2026-10-13,동네인쇄소,54000,기업카드,인쇄물,확인 필요,계정과목 확인
